text,urgency
"Fire in building need help now people trapped",high
"Major earthquake magnitude 7.5 buildings collapsing",high
"Severe flooding downtown roads completely blocked evacuate",high
"Traffic accident highway minor injuries reported",medium
"Road closure due to construction work delays expected",low
"Power outage affecting residential area",low
"Storm warning issued coastal regions high winds",medium
"Medical emergency person unconscious needs ambulance",high
"Gas leak evacuate immediately dangerous situation",high
"Water pipe burst minor leak maintenance needed",low
"Tornado warning take shelter immediately",high
"Tree fallen on road causing traffic delay",low
"Heat wave warning next week stay hydrated",medium
"Lost dog in neighborhood please help find",low
"Community event cancelled due to weather",low
"Explosion industrial site multiple casualties critical",high
"Building collapse active search rescue operation",high
"Tsunami alert evacuate coastal areas now",high
"Chemical spill highway area closed hazardous",high
"Heavy rainfall waterlogging several areas",medium
"Car accident intersection minor damage no injuries",low
"Wildfire spreading quickly evacuate nearby homes",high
"Structural damage building unsafe enter",high
"Flood warning river levels rising rapidly",high
"Traffic congestion downtown area slow movement",low
"Electrical fire in apartment building smoke visible",high
"Landslide blocking main road alternate route available",medium
"Lightning strike caused power outage working on fix",medium
"Missing person last seen yesterday evening",medium
"Robbery reported at convenience store suspect fled",medium
"Suspicious package found area cordoned off",high
"Civil unrest protests turning violent stay indoors",high
"Disease outbreak reported quarantine measures active",high
"Bridge collapse multiple vehicles involved rescue ongoing",high
"Industrial accident chemical exposure workers injured",high
